"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol"
5.6;0.41;0.22;7.1;0.05;44;154;0.9931;3.3;0.4;10.5
7.6;0.15;0.35;4.3;0.051;23;98;0.99422;3.1;0.44;9.5
6;0.3;0.33;2.1;0.042;31;127;0.98964;3.32;0.42;12.5
6.5;0.29;0.25;2.5;0.142;8;111;0.9927;3;0.44;9.9
6.4;0.21;0.34;16.05;0.04;56;142;0.99678;3.11;0.38;10.6
6.2;0.35;0.31;2.6;0.036;37;92;0.98938;3.27;0.53;12.8
7.3;0.19;0.27;13.9;0.057;45;155;0.99807;2.94;0.41;8.8
6.1;0.2;0.34;9.5;0.041;38;201;0.995;3.14;0.44;10.1
7.6;0.48;0.37;1.2;0.034;5;57;0.99256;3.05;0.54;10.4
6.8;0.67;0.3;13;0.29;22;193;0.9984;3.08;0.67;9
8.3;0.42;0.62;19.25;0.04;41;172;1.0002;2.98;0.67;9.7
6.9;0.35;0.55;11.95;0.038;22;111;0.99687;3.11;0.29;9.7
7;0.27;0.36;20.7;0.045;45;170;1.001;3;0.45;8.8
7.2;0.29;0.4;7.6;0.024;56;177;0.9928;3.04;0.32;11.5
6.6;0.17;0.38;1.5;0.032;28;112;0.9914;3.25;0.55;11.4
7.1;0.32;0.34;14.5;0.039;46;150;0.995;3.38;0.5;12.5
6.3;0.41;0.18;3.5;0.027;23;109;0.99018;3.34;0.54;12.8
