fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,free sulfur dioxide (norm),total sulfur dioxide,total sulfur dioxide (norm),pH,sulphates,alcohol,quality
7.20,0.34,0.32,2.50,0.09,43.00,3.00,113.00,1.81,3.32,0.79,11.10,5.00
8.20,0.34,0.37,1.90,0.06,43.00,3.00,74.00,0.95,3.23,0.81,12.00,6.00
7.50,0.59,0.22,1.80,0.08,43.00,3.00,60.00,0.64,3.10,0.42,9.20,5.00
7.90,0.52,0.26,1.90,0.08,42.00,2.89,140.00,2.41,3.23,0.54,9.50,5.00
10.00,0.26,0.54,1.90,0.08,42.00,2.89,74.00,0.95,2.98,0.63,11.80,8.00
7.10,0.69,0.08,2.10,0.06,42.00,2.89,52.00,0.46,3.42,0.60,10.20,6.00
9.00,0.54,0.49,2.90,0.09,41.00,2.78,110.00,1.74,3.08,0.61,9.20,5.00
5.00,1.02,0.04,1.40,0.05,41.00,2.78,85.00,1.19,3.75,0.48,10.50,4.00
7.20,0.34,0.21,2.50,0.08,41.00,2.78,68.00,0.81,3.37,0.54,10.10,6.00
9.30,0.36,0.39,1.50,0.08,41.00,2.78,55.00,0.53,3.47,0.73,10.90,6.00
9.30,0.36,0.39,1.50,0.08,41.00,2.78,55.00,0.53,3.47,0.73,10.90,6.00
9.30,0.36,0.39,1.50,0.08,41.00,2.78,55.00,0.53,3.47,0.73,10.90,6.00
10.20,0.40,0.40,2.50,0.07,41.00,2.78,54.00,0.51,3.38,0.86,10.50,6.00
6.10,0.21,0.40,1.40,0.07,40.50,2.73,165.00,2.96,3.25,0.59,11.90,6.00
6.90,0.61,0.12,10.70,0.07,40.00,2.67,83.00,1.15,3.45,0.52,9.40,6.00
6.80,0.48,0.08,1.80,0.07,40.00,2.67,64.00,0.73,3.12,0.49,9.60,5.00
7.00,0.69,0.00,1.90,0.07,40.00,2.67,63.00,0.70,3.60,0.81,9.90,5.00
6.00,0.51,0.00,2.10,0.06,40.00,2.67,54.00,0.51,3.54,0.93,10.70,6.00
6.00,0.51,0.00,2.10,0.06,40.00,2.67,54.00,0.51,3.54,0.93,10.70,6.00
6.90,0.58,0.01,1.90,0.08,40.00,2.67,54.00,0.51,3.40,0.73,9.70,5.00
8.80,0.37,0.48,2.10,0.10,39.00,2.56,145.00,2.52,3.04,1.03,9.30,5.00
7.30,0.37,0.49,2.50,0.09,39.00,2.56,106.00,1.65,3.36,0.78,11.00,5.00
7.30,0.37,0.49,2.50,0.09,39.00,2.56,106.00,1.65,3.36,0.78,11.00,5.00
7.00,0.54,0.00,2.10,0.08,39.00,2.56,55.00,0.53,3.39,0.84,11.40,6.00
5.90,0.55,0.10,2.20,0.06,39.00,2.56,51.00,0.44,3.52,0.76,11.20,6.00
9.30,0.40,0.49,2.50,0.09,38.00,2.46,142.00,2.45,3.22,0.55,9.40,5.00
9.10,0.47,0.49,2.60,0.09,38.00,2.46,106.00,1.65,3.08,0.59,9.10,5.00
6.00,0.54,0.06,1.80,0.05,38.00,2.46,89.00,1.28,3.30,0.50,10.55,6.00
10.40,0.44,0.73,6.55,0.07,38.00,2.46,76.00,0.99,3.17,0.85,12.00,7.00
10.40,0.44,0.73,6.55,0.07,38.00,2.46,76.00,0.99,3.17,0.85,12.00,7.00
7.90,0.18,0.40,2.20,0.05,38.00,2.46,67.00,0.79,3.33,0.93,11.30,5.00
8.00,0.67,0.30,2.00,0.06,38.00,2.46,62.00,0.68,3.26,0.56,10.20,6.00
8.40,0.62,0.12,1.80,0.07,38.00,2.46,46.00,0.33,3.38,0.89,11.80,6.00
8.40,0.62,0.12,1.80,0.07,38.00,2.46,46.00,0.33,3.38,0.89,11.80,6.00
8.10,0.79,0.52,2.00,0.12,37.00,2.35,153.00,2.69,3.21,0.69,9.30,5.00
9.60,0.56,0.23,3.40,0.10,37.00,2.35,92.00,1.34,3.30,0.65,10.10,5.00
6.60,0.58,0.02,2.00,0.06,37.00,2.35,53.00,0.48,3.35,0.76,11.60,7.00
7.10,0.31,0.30,2.20,0.05,36.00,2.24,127.00,2.12,2.94,1.62,9.50,5.00
7.40,0.60,0.26,7.30,0.07,36.00,2.24,121.00,1.99,3.37,0.49,9.40,5.00
6.70,0.48,0.02,2.20,0.08,36.00,2.24,111.00,1.76,3.10,0.53,9.70,5.00
8.00,0.18,0.37,0.90,0.05,36.00,2.24,109.00,1.72,2.89,0.44,12.70,6.00
8.00,0.18,0.37,0.90,0.05,36.00,2.24,109.00,1.72,2.89,0.44,12.70,6.00
6.70,0.28,0.28,2.40,0.01,36.00,2.24,100.00,1.52,3.26,0.39,11.70,7.00
6.70,0.28,0.28,2.40,0.01,36.00,2.24,100.00,1.52,3.26,0.39,11.70,7.00
7.50,0.61,0.20,1.70,0.08,36.00,2.24,60.00,0.64,3.10,0.40,9.30,5.00
11.60,0.47,0.44,1.60,0.15,36.00,2.24,51.00,0.44,3.38,0.86,9.90,4.00
8.70,0.82,0.02,1.20,0.07,36.00,2.24,48.00,0.37,3.20,0.58,9.80,5.00
6.90,0.56,0.03,1.50,0.09,36.00,2.24,46.00,0.33,3.53,0.57,10.60,5.00
9.80,0.88,0.25,2.50,0.10,35.00,2.13,155.00,2.74,3.41,0.67,11.20,5.00
